Data Series,Public Sector Hospital Admissions,Alexandra Hospital,Changi General Hospital,Khoo Teck Puat Hospital,National University Hospital,Ng Teng Fong General Hospital,Sengkang General Hospital,Singapore General Hospital,Tan Tock Seng Hospital,Communicable Disease Centre,National Centre For Infectious Diseases,Institute Of Mental Health / Woodbridge Hospital,Kandang Kerbau Women's & Children's Hospital,National Heart Centre
1993 Jul,22221,1500,na,na,3491,na,na,7144,3628,197,na,479,3407,na
1993 Jun,22138,1471,na,na,3465,na,na,7122,3693,188,na,492,3486,na
1993 May,21623,1589,na,na,3381,na,na,6851,3661,188,na,482,3316,na
1993 Apr,21209,1522,na,na,3311,na,na,6660,3621,220,na,517,3353,na
1993 Mar,21796,1478,na,na,3614,na,na,6894,3657,218,na,482,3333,na
1993 Feb,20499,1383,na,na,3379,na,na,6510,3457,234,na,464,3189,na
1993 Jan,20773,1507,na,na,3353,na,na,6520,3597,202,na,506,3148,na
1992 Dec,22654,1706,na,na,3829,na,na,7047,3878,197,na,479,3478,na
1992 Nov,21373,1416,na,na,3449,na,na,6875,3510,203,na,448,3475,na
1992 Oct,22209,1417,na,na,3700,na,na,6708,3622,267,na,504,3824,na
1992 Sep,22415,1386,na,na,3573,na,na,6981,3815,267,na,472,3682,na
1992 Aug,23515,1602,na,na,3844,na,na,7411,3967,280,na,504,3516,na
1992 Jul,23612,1496,na,na,3746,na,na,7584,4030,319,na,479,3579,na
1992 Jun,22273,1537,na,na,3653,na,na,7226,3633,258,na,431,3415,na
1992 May,22106,1497,na,na,3684,na,na,6954,3815,224,na,515,3344,na
1992 Apr,21031,1532,na,na,3392,na,na,6860,3326,253,na,477,3101,na
1992 Mar,22478,1576,na,na,3610,na,na,7485,3535,184,na,451,3483,na
1992 Feb,19835,1459,na,na,3140,na,na,6393,3199,187,na,425,3098,na
1992 Jan,22034,1737,na,na,3505,na,na,7109,3664,179,na,458,3191,na
1991 Dec,21695,1539,na,na,3470,na,na,7129,3450,158,na,461,3483,na
1991 Nov,21187,1664,na,na,3409,na,na,6884,3504,168,na,425,3302,na
1991 Oct,22552,1645,na,na,3399,na,na,7287,3841,161,na,402,3700,na
1991 Sep,22296,1708,na,na,3254,na,na,7267,3909,179,na,466,3431,na
1991 Aug,21978,1654,na,na,3377,na,na,6938,3839,165,na,467,3306,na
1991 Jul,22919,1847,na,na,3460,na,na,7214,3882,202,na,486,3454,na
1991 Jun,21326,1693,na,na,3279,na,na,6754,3697,193,na,476,3038,na
1991 May,22246,1745,na,na,3443,na,na,7078,3756,193,na,512,3229,na
1991 Apr,21242,1618,na,na,3486,na,na,6855,3413,202,na,429,3022,na
1991 Mar,21738,1661,na,na,3321,na,na,7259,3429,222,na,503,3113,na
1991 Feb,18397,1353,na,na,2780,na,na,6218,2878,150,na,432,2652,na
1991 Jan,22176,1589,na,na,3475,na,na,7528,3358,251,na,501,3236,na
1990 Dec,21865,1644,na,na,3591,na,na,7144,3641,na,na,510,3146,na
1990 Nov,22456,1644,na,na,3798,na,na,7181,3644,na,na,473,3537,na
1990 Oct,23204,1660,na,na,3893,na,na,7243,3883,na,na,539,3649,na
1990 Sep,21489,1628,na,na,3487,na,na,6669,3701,na,na,500,3377,na
1990 Aug,22374,1652,na,na,3808,na,na,6778,4157,na,na,566,3196,na
1990 Jul,22290,1714,na,na,3741,na,na,6838,4143,na,na,481,3140,na
1990 Jun,21086,1498,na,na,3561,na,na,6510,3993,na,na,447,3073,na
1990 May,22213,1585,na,na,3518,na,na,6913,4279,na,na,487,3205,na
1990 Apr,20964,1583,na,na,3401,na,na,6297,3685,na,na,476,3089,na
1990 Mar,21563,1863,na,na,3469,na,na,6820,3783,na,na,512,2464,na
1990 Feb,19842,1788,na,na,3222,na,na,6139,3656,na,na,479,2125,na
1990 Jan,20195,1883,na,na,3231,na,na,6111,3786,na,na,456,2171,na
1989 Dec,20704,1983,na,na,3233,na,na,6268,3746,na,na,434,2445,na
1989 Nov,21897,2192,na,na,3335,na,na,6708,3917,na,na,464,2650,na
1989 Oct,22085,2220,na,na,3299,na,na,6814,3979,na,na,445,2721,na
1989 Sep,21647,2215,na,na,3214,na,na,6648,3960,na,na,499,2661,na
1989 Aug,21670,2084,na,na,3438,na,na,6679,3991,na,na,528,2447,na
1989 Jul,21947,2167,na,na,3296,na,na,7022,4028,na,na,492,2322,na
1989 Jun,21772,2303,na,na,3178,na,na,6852,4052,na,na,491,2408,na
1989 May,21751,2444,na,na,3229,na,na,6831,3990,na,na,446,2407,na
1989 Apr,21265,2443,na,na,3131,na,na,6635,3695,na,na,475,2354,na
1989 Mar,22118,2457,na,na,3324,na,na,6934,3679,na,na,541,2441,na
1989 Feb,18985,2072,na,na,2693,na,na,6091,3160,na,na,465,2169,na
1989 Jan,21566,2316,na,na,3045,na,na,6563,3714,na,na,557,2623,na
1988 Dec,21474,2287,na,na,2723,na,na,6965,3539,na,na,458,2821,na
1988 Nov,22104,2351,na,na,2873,na,na,7097,3521,na,na,486,3131,na
1988 Oct,23178,2490,na,na,2966,na,na,7554,3709,na,na,453,3312,na
1988 Sep,22555,2489,na,na,2803,na,na,7295,3677,na,na,485,3235,na
1988 Aug,22397,2314,na,na,2848,na,na,7104,4096,na,na,481,2937,na
1988 Jul,22304,2301,na,na,2603,na,na,7326,4015,na,na,463,2790,na
1988 Jun,22492,2571,na,na,2616,na,na,7213,4004,na,na,447,2859,na
1988 May,22059,2398,na,na,2531,na,na,6743,4348,na,na,442,2803,na
1988 Apr,22063,2555,na,na,2459,na,na,6771,4279,na,na,502,2641,na
1988 Mar,23371,2705,na,na,2770,na,na,7053,4576,na,na,531,2830,na
1988 Feb,19582,2291,na,na,2038,na,na,5987,3891,na,na,489,2412,na
1988 Jan,21801,2548,na,na,2327,na,na,6648,4303,na,na,519,2638,na
1987 Dec,21572,2551,na,na,2404,na,na,6734,4122,na,na,461,2708,na
1987 Nov,21523,2685,na,na,2264,na,na,6765,4071,na,na,485,2741,na
1987 Oct,21313,2509,na,na,2394,na,na,6427,4086,na,na,536,2778,na
1987 Sep,20682,2427,na,na,2361,na,na,6232,3957,na,na,510,2695,na
1987 Aug,20714,2376,na,na,2174,na,na,6450,3908,na,na,453,2793,na
1987 Jul,21291,2500,na,na,2342,na,na,6452,4138,na,na,485,2790,na
1987 Jun,21096,2541,na,na,2252,na,na,6214,3831,na,na,520,2994,na
1987 May,19602,2357,na,na,2032,na,na,5754,3629,na,na,469,2739,na
1987 Apr,19797,2348,na,na,2202,na,na,5761,3804,na,na,498,2686,na
1987 Mar,22173,2641,na,na,2584,na,na,6447,4128,na,na,518,2892,na
1987 Feb,19074,2188,na,na,1862,na,na,5490,4061,na,na,480,2420,na
1987 Jan,18822,2345,na,na,1864,na,na,5224,3937,na,na,493,2412,na
